priority,source_url,target_url,action,reason,impressions_16mo,clicks_16mo,blocker
P0,/post/facebook-vs-google-ads,/facebook-vs-google-ads/,301,Currently redirects to homepage. Target exists and is found at position 7.2,11717,25,none
P0,/post/website-design-tips-for-accountants,/website-design-tips-for-accountants/,301,Currently redirects to homepage. Target exists and is found at position 9.2,11657,5,none
P0,/post/best-website-builder-for-accountants,/best-website-builder-for-accountants/,301,Currently redirects to homepage. Highest-impression article on the site,8949,13,TARGET DOES NOT EXIST - republish article first
P0,/seo-for-accountants,,fix-canonical,"Indexed, but declares canonical /seo-for-accountants/ which Google has never crawled. Either publish and link that URL then 301, or change the declared canonical to this URL",41813,0,decide which URL is canonical
P0,/lite,,crawl-fix,"Product page for Markology LITE at 1599/mo is unknown to Google. Never crawled. Add to sitemap and internal links",16,0,none
P1,/post/guide-to-marketing-for-accountants-in-2024,,decide,"Old blog URL still indexed as itself with no new version found. Either migrate the article or 301 to the closest live equivalent",4536,8,no migrated version exists
P1,/post/ai-and-accountants,/ai-and-accountants/,301,Old URL indexed as itself while new slug is also live. Signals split,2599,9,none
P1,/accounting-ads,/accounting-ads/,301,Both addresses indexed separately. Signals split,1490,1,none
P1,/about-us,/about-us/,301,Both addresses indexed separately. Signals split,897,7,none
P1,/faqs,/faqs/,301,Both addresses indexed separately. Signals split,87,0,none
P2,/may-pricing,/pricing,301,Legacy URL unknown to Google. Retire it,25,0,none
P2,/seo-for-accountants/,,resolve-with-P0,Unknown to Google. Resolution depends on the P0 canonical decision,34,0,see P0
